,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,Ushuaia,20,AR,1669580786,47,-54.8,-68.3,56.82,4.61
1,Hamilton,100,US,1669580532,79,39.1834,-84.5333,54.37,23.02
2,Mahébourg,20,MU,1669580789,83,-20.4081,57.7,71.89,1.14
3,Shenzhen,78,CN,1669580734,97,22.5455,114.0683,77.85,5.75
4,Presidencia Roque Sáenz Peña,0,AR,1669580791,18,-26.7852,-60.4388,100.6,7.76
5,Rikitea,7,PF,1669580793,72,-23.1203,-134.9692,75.24,3.67
6,Bredasdorp,0,ZA,1669580794,80,-34.5322,20.0403,63.27,13.27
7,Iquitos,40,PE,1669580712,79,-3.7481,-73.2472,84.24,9.22
8,Surab,0,PK,1669580796,22,28.4914,66.2585,49.62,8.03
9,Puerto Ayora,55,EC,1669580798,87,-0.7393,-90.3518,75.16,11.99
10,George Town,20,MY,1669580799,91,5.4112,100.3354,79.23,2.3
11,Vestmanna,100,FO,1669580800,93,62.1564,-7.1664,45.52,17.27
12,Tiksi,87,RU,1669580802,99,71.6872,128.8694,-28.57,7.07
13,Summerland,100,CA,1669580803,80,49.5998,-119.6691,37.09,4.61
14,Punta Arenas,0,CL,1669580605,30,-53.15,-70.9167,66.31,16.11
15,Tuktoyaktuk,20,CA,1669580806,75,69.4541,-133.0374,-25.6,3.44
16,Mataura,97,NZ,1669580807,72,-46.1927,168.8643,50.05,2.68
17,Geraldton,0,AU,1669580808,82,-28.7667,114.6,57.61,6.91
18,Busselton,0,AU,1669580810,85,-33.65,115.3333,50.92,11.34
19,Nhulunbuy,100,AU,1669580722,89,-12.2333,136.7667,79.41,0.0
20,Thompson,100,CA,1669580812,93,55.7435,-97.8558,19.56,4.61
21,Saint Paul Harbor,0,US,1669580814,64,57.79,-152.4072,27.91,3.44
22,Lorengau,29,PG,1669580815,75,-2.0226,147.2712,81.16,6.67
23,Thinadhoo,100,MV,1669580817,75,0.5333,72.9333,80.17,5.59
24,Karratha,27,AU,1669580818,44,-20.7377,116.8463,79.39,14.81
25,Jamestown,100,US,1669580819,77,42.097,-79.2353,51.03,6.91
26,Bluff,100,NZ,1669580821,79,-46.6,168.3333,47.71,7.27
27,New Norfolk,61,AU,1669580822,70,-42.7826,147.0587,51.89,4.0
28,Cayenne,20,GF,1669580642,89,4.9333,-52.3333,78.84,5.75
29,Hong Kong,61,HK,1669580825,93,22.2855,114.1577,77.95,8.01
30,Superior,100,US,1669580590,66,46.7208,-92.1041,38.95,9.22
31,Upernavik,100,GL,1669580827,81,72.7868,-56.1549,11.26,4.12
32,Bayburt,18,TR,1669580829,83,40.2589,40.2278,32.88,3.29
33,Kavieng,7,PG,1669580830,70,-2.5744,150.7967,82.85,7.7
34,Umm Kaddadah,11,SD,1669580832,26,13.6017,26.6876,71.46,11.45
35,Fortuna,0,US,1669580781,64,40.5982,-124.1573,55.92,9.22
36,Husavik,100,IS,1669580834,97,66.0449,-17.3389,35.33,22.5
37,Yellowknife,20,CA,1669580836,85,62.456,-114.3525,9.12,13.8
38,Prince Rupert,0,CA,1669580837,74,54.3161,-130.3201,40.69,9.22
39,Araouane,100,ML,1669580839,15,18.9048,-3.5265,78.06,9.48
40,Virginia Beach,100,US,1669580613,81,36.8529,-75.978,68.04,16.11
41,North Bend,100,US,1669580842,100,43.4065,-124.2243,49.15,10.36
42,Isangel,18,VU,1669580843,77,-19.55,169.2667,79.65,6.96
43,Shingū,100,JP,1669580844,61,33.7333,135.9833,54.43,4.72
44,Aklavik,75,CA,1669580846,76,68.2191,-135.0107,-14.8,3.44
45,Taltal,35,CL,1669580847,72,-25.4,-70.4833,67.93,8.43
46,Kaitangata,28,NZ,1669580849,72,-46.2817,169.8464,50.02,1.39
47,Boa Vista,20,BR,1669580850,69,2.8197,-60.6733,82.38,4.61
48,Wagga Wagga,0,AU,1669580851,85,-35.1167,147.3667,57.6,4.38
49,Qandala,46,SO,1669580853,76,11.472,49.8728,77.2,4.25
50,Butaritari,12,KI,1669580854,76,3.0707,172.7902,80.76,11.52
51,Avarua,40,CK,1669580856,61,-21.2078,-159.775,80.65,14.97
52,Itoman,75,JP,1669580857,85,26.1247,127.6694,75.97,11.5
53,Departamento de Maldonado,5,UY,1669580858,60,-34.6667,-54.9167,81.79,16.55
54,Port Augusta,3,AU,1669580860,64,-32.5,137.7667,55.83,9.17
55,Altay,13,CN,1669580861,60,47.8667,88.1167,-17.03,7.2
56,Kahului,40,US,1669580755,81,20.8947,-156.47,78.96,9.22
57,Porbandar,0,IN,1669580864,44,21.6422,69.6093,73.44,8.68
58,Marsaxlokk,100,MT,1669580865,77,35.8419,14.5431,61.41,26.46
59,Provideniya,100,RU,1669580867,95,64.3833,-173.3,15.31,5.37
60,Arraial do Cabo,75,BR,1669580868,83,-22.9661,-42.0278,75.16,26.46
61,Tasiilaq,11,GL,1669580870,61,65.6145,-37.6368,24.96,7.27
62,Severodvinsk,100,RU,1669580871,89,64.5635,39.8302,3.31,8.05
63,Launceston,53,AU,1669580846,76,-41.45,147.1667,49.8,10.36
64,São Filipe,0,CV,1669580874,63,14.8961,-24.4956,78.21,12.91
65,Mount Isa,100,AU,1669580875,83,-20.7333,139.5,74.97,1.14
66,Narsaq,97,GL,1669580877,95,60.9167,-46.05,30.42,8.21
67,Port Alfred,92,ZA,1669580879,93,-33.5906,26.891,64.18,4.0
68,Pevek,96,RU,1669580880,92,69.7008,170.3133,-16.17,2.59
69,Cabo San Lucas,0,MX,1669580882,53,22.8909,-109.9124,81.61,6.91
70,Nyuksenitsa,66,RU,1669580884,98,60.4128,44.2397,9.05,2.95
71,Aden,90,YE,1669580659,69,12.7794,45.0367,79.02,11.12
72,Cape Town,0,ZA,1669580811,64,-33.9258,18.4232,69.28,15.01
73,Mar del Plata,0,AR,1669580887,92,-38.0023,-57.5575,74.82,10.36
74,Bethel,100,US,1669580889,85,41.3712,-73.414,50.54,3.44
75,Castro,95,BR,1669580890,92,-24.7911,-50.0119,63.57,10.98
76,Hermanus,3,ZA,1669580891,78,-34.4187,19.2345,65.8,17.65
